ID_Livraison,Date_Livraison,ID_Entreprise,ID_Route,ID_Vehicule,ID_Client,Distance_km,Duree_heures,Carburant_litres,Poids_Tonnes,NbColis,Cout_Carburant_FCFA,Cout_Peage_FCFA,Cout_Chauffeur_FCFA,Cout_Maintenance_FCFA,Cout_Assurance_FCFA,Cout_Total_FCFA,Prix_Facture_FCFA,Marge_FCFA,Taux_Marge_Pourcent,Statut_Livraison,Satisfaction_Client
L00028,2020-01-04,E003,R007,V008,C0167,620,16.19,127.97,3.9,172,83180,16140,33095,16306,11805,160526,280926,120400,42.86,Livrée,5
L00029,2020-01-05,E005,R013,V007,C0337,420,7.48,124.64,8.31,60,81016,13327,22754,12524,8572,138193,395720,257527,65.08,Livrée,5
L00030,2020-01-05,E001,R011,V008,C0395,275,6.47,63.16,2.61,97,41054,7966,16158,5045,6935,77158,60300,-16858,-27.96,Livrée,5
L00031,2020-01-05,E001,R013,V003,C0379,420,6.8,182.79,20.8,178,118814,14535,20690,9398,10438,173875,824039,650164,78.9,Livrée,5
L00032,2020-01-05,E004,R004,V007,C0386,275,6.41,77.38,6.46,47,50297,9323,22087,4725,11821,98253,197355,99102,50.22,Annulée,1
L00033,2020-01-05,E006,R006,V002,C0279,195,4.23,58.62,6.53,130,38103,6732,13430,3581,7121,68967,117978,49011,41.54,Livrée,4
L00034,2020-01-05,E001,R001,V006,C0191,420,6.99,157.5,17.16,68,102375,10905,14756,8586,7856,144478,767905,623427,81.19,Livrée,4
L00035,2020-01-05,E003,R007,V006,C0242,620,16.2,254.1,11.87,64,165165,19799,42305,16940,8561,252770,704066,451296,64.1,Livrée,5
L00036,2020-01-06,E006,R012,V004,C0278,35,0.18,7.07,2.04,180,4596,0,611,833,10883,16923,8243,-8680,-105.3,Livrée,5
L00037,2020-01-06,E003,R015,V007,C0445,45,0.71,11.89,7.43,198,7728,0,1749,715,6652,16844,32261,15417,47.79,Livrée,5
L00038,2020-01-06,E001,R006,V004,C0154,195,4.69,34.99,2.71,76,22744,6461,11773,3501,7307,51786,67167,15381,22.9,Livrée,4
L00039,2020-01-06,E001,R004,V007,C0396,275,5.52,80.86,9.9,50,52559,7801,16722,5110,10852,93044,403606,310562,76.95,Livrée,5
L00040,2020-01-06,E004,R007,V006,C0160,620,15.24,230.63,11.14,165,149910,13932,40298,13101,10040,227281,710221,482940,68.0,Livrée,4
L00041,2020-01-06,E001,R003,V002,C0265,165,3.19,45.14,9.92,118,29341,4256,7843,3947,7328,52715,147638,94923,64.29,Livrée,5
L00042,2020-01-06,E006,R001,V008,C0235,420,7.09,86.44,3.27,63,56186,11593,22204,7492,11625,109100,175744,66644,37.92,Livrée,5
L00043,2020-01-07,E006,R004,V007,C0453,275,6.12,89.39,9.61,153,58104,8663,12554,7538,10421,97280,392606,295326,75.22,Livrée,5
L00044,2020-01-07,E006,R003,V004,C0346,165,2.94,27.07,3.04,86,17596,4028,8468,3241,9798,43131,71734,28603,39.87,Livrée,4
L00045,2020-01-07,E004,R001,V001,C0199,420,7.74,144.13,12.32,120,93684,10282,19022,11412,10822,145222,464275,319053,68.72,Livrée,3
L00046,2020-01-07,E004,R002,V008,C0477,340,6.54,77.31,2.54,146,50252,11004,22617,6016,6495,96384,108025,11641,10.78,Livrée,4
L00047,2020-01-07,E001,R011,V006,C0033,275,5.45,92.44,16.78,159,60086,7243,11644,5211,7599,91783,512176,420393,82.08,Livrée,5
L00048,2020-01-07,E002,R005,V003,C0408,185,3.09,84.03,16.83,174,54620,5597,9050,4490,9781,83538,284459,200921,70.63,Livrée,5
L00049,2020-01-08,E002,R015,V003,C0089,45,0.44,19.85,20.02,65,12903,0,1128,1225,8015,23271,85281,62010,72.71,Livrée,5
L00050,2020-01-08,E004,R008,V008,C0095,235,4.4,49.09,2.64,65,31909,8183,13361,6809,5826,66088,55564,-10524,-18.94,Livrée,5
L00051,2020-01-08,E001,R001,V002,C0221,420,7.36,127.75,7.38,39,83038,14519,24416,7046,7370,136389,366158,229769,62.75,Livrée,5
L00052,2020-01-08,E002,R004,V001,C0069,275,6.07,104.26,12.47,54,67769,5587,15743,7797,8642,105538,332757,227219,68.28,Livrée,4
L00053,2020-01-08,E001,R014,V004,C0294,165,2.38,28.9,2.65,84,18785,3413,7550,2572,7158,39478,43620,4142,9.5,Livrée,4
L00054,2020-01-08,E001,R004,V007,C0237,275,6.46,78.71,10.23,141,51161,5661,13274,7257,8867,86220,403773,317553,78.65,Livrée,4
L00055,2020-01-08,E001,R005,V006,C0395,185,3.3,65.07,15.11,94,42295,5107,9085,4469,6303,67259,344986,277727,80.5,Livrée,5
L00056,2020-01-09,E005,R007,V003,C0160,620,15.32,291.34,14.91,197,189371,16938,35810,9683,9730,261532,1084890,823358,75.89,Livrée,5
L00057,2020-01-09,E006,R013,V003,C0320,420,6.91,194.93,13.32,72,126704,10342,24063,10112,10911,182132,736358,554226,75.27,Livrée,5
L00058,2020-01-09,E001,R012,V003,C0328,35,0.62,14.2,14.83,84,9230,0,1810,706,7163,18909,48627,29718,61.11,Livrée,5
L00059,2020-01-09,E005,R008,V003,C0276,235,4.79,99.4,17.76,15,64610,6032,11242,5766,9799,97449,602233,504784,83.82,En retard,2
L00060,2020-01-09,E004,R015,V005,C0290,45,1.17,5.47,1.3,8,3556,0,2905,727,8192,15380,7064,-8316,-117.72,Livrée,5
L00061,2020-01-09,E002,R006,V002,C0367,195,3.67,59.68,10.72,125,38792,4646,8397,4031,7748,63614,226636,163022,71.93,Livrée,4
L00062,2020-01-09,E006,R001,V004,C0042,420,6.67,71.97,2.41,14,46780,14464,22918,7416,6016,97594,127379,29785,23.38,Livrée,5
L00063,2020-01-10,E002,R007,V006,C0392,620,15.73,254.32,12.71,80,165308,16369,39871,18581,8724,248853,737958,489105,66.28,Livrée,5
L00064,2020-01-10,E006,R003,V006,C0066,165,2.66,55.84,17.6,110,36296,4070,7350,2619,6076,56411,245218,188807,77.0,Livrée,5
L00065,2020-01-10,E002,R015,V006,C0021,45,1.36,17.62,15.71,31,11453,0,4048,1169,5616,22286,73357,51071,69.62,Livrée,5
L00066,2020-01-10,E006,R013,V004,C0335,420,7.95,69.72,2.03,55,45318,11409,16644,10270,5551,89192,112895,23703,21.0,Livrée,4
L00067,2020-01-10,E002,R013,V002,C0070,420,6.7,106.88,10.06,65,69472,10889,23243,6995,5712,116311,550162,433851,78.86,Livrée,5
L00068,2020-01-10,E002,R013,V008,C0261,420,6.9,85.08,3.09,51,55302,13245,21687,9549,11499,111282,159586,48304,30.27,Livrée,5
L00069,2020-01-10,E002,R006,V008,C0246,195,4.31,38.75,3.93,151,25188,6086,13844,4540,5012,54670,74665,19995,26.78,Livrée,4
L00070,2020-01-11,E002,R015,V001,C0323,45,0.7,15.05,14.7,64,9782,0,1621,1052,11649,24104,82489,58385,70.78,Livrée,5
L00071,2020-01-11,E004,R008,V007,C0235,235,3.66,72.15,7.89,193,46898,6216,7422,5428,11925,77889,160819,82930,51.57,Livrée,5
L00072,2020-01-11,E001,R007,V008,C0427,620,15.41,129.3,4.55,93,84045,17913,48739,15022,9155,174874,270163,95289,35.27,Livrée,5
L00073,2020-01-11,E003,R010,V007,C0272,340,7.37,89.79,6.9,120,58364,7458,15913,8085,6700,96520,312702,216182,69.13,Livrée,5
L00074,2020-01-11,E005,R006,V002,C0099,195,3.55,61.91,6.11,110,40242,4885,12412,5787,10452,73778,102558,28780,28.06,Livrée,4
L00075,2020-01-11,E003,R009,V003,C0329,120,2.96,53.03,19.65,186,34470,3340,8224,2496,8281,56811,286997,230186,80.21,Livrée,4
L00076,2020-01-11,E003,R009,V007,C0035,120,2.28,34.34,11.37,14,22321,3551,6085,1947,7645,41549,175689,134140,76.35,Livrée,5
L00077,2020-01-12,E006,R001,V003,C0339,420,7.35,189.96,19.99,108,123474,11105,15707,12363,8026,170675,703796,533121,75.75,Livrée,4
L00078,2020-01-12,E001,R001,V002,C0171,420,6.72,134.7,9.03,19,87555,13042,18201,10152,5747,134697,448057,313360,69.94,Livrée,4
L00079,2020-01-12,E006,R001,V002,C0110,420,7.59,113.18,10.63,186,73567,13997,21706,10120,6183,125573,599370,473797,79.05,Livrée,5
L00080,2020-01-12,E001,R008,V004,C0482,235,4.71,43.24,1.79,43,28106,5278,14145,5937,7008,60474,45424,-15050,-33.13,Livrée,5
L00081,2020-01-12,E001,R012,V004,C0295,35,0.67,7.18,2.77,93,4667,0,2108,693,11661,19129,10934,-8195,-74.95,Livrée,5
L00082,2020-01-12,E002,R013,V005,C0010,420,7.08,52.01,1.14,192,33806,11727,22250,8560,10018,86361,51217,-35144,-68.62,Livrée,4
L00083,2020-01-12,E004,R014,V006,C0202,165,3.21,63.18,12.32,88,41067,3510,10995,2740,8943,67255,249451,182196,73.04,Livrée,5
L00084,2020-01-13,E002,R012,V005,C0404,35,1.56,4.4,0.78,98,2860,0,3496,625,10013,16994,2467,-14527,-588.85,Livrée,4
L00085,2020-01-13,E004,R014,V006,C0257,165,2.94,55.89,14.69,17,36328,3924,7501,2647,9090,59490,262168,202678,77.31,Livrée,5
L00086,2020-01-13,E006,R010,V003,C0262,340,7.14,140.87,18.19,64,91566,8924,22821,5927,9334,138572,809734,671162,82.89,Livrée,5
L00087,2020-01-13,E004,R007,V005,C0181,620,16.0,81.88,1.11,46,53222,21446,47104,17432,5008,144212,59594,-84618,-141.99,Livrée,4
L00088,2020-01-13,E006,R003,V005,C0430,165,2.87,21.14,0.99,131,13741,4512,7622,3193,7678,36746,14395,-22351,-155.27,Livrée,5
L00089,2020-01-13,E003,R013,V001,C0066,420,7.32,148.11,15.51,16,96272,9360,19153,11275,11227,147287,826839,679552,82.19,Livrée,5
L00090,2020-01-13,E003,R002,V002,C0294,340,6.59,104.14,8.4,128,67691,10108,19228,8507,6657,112191,355748,243557,68.46,Livrée,5
L00091,2020-01-14,E004,R004,V004,C0161,275,6.16,50.0,2.81,117,32500,8264,16531,8038,6255,71588,71163,-425,-0.6,Livrée,4
L00092,2020-01-14,E004,R003,V005,C0067,165,2.49,18.74,1.11,169,12181,5722,7659,3095,9137,37794,24002,-13792,-57.46,Livrée,5
L00093,2020-01-14,E006,R007,V004,C0100,620,15.96,101.56,3.07,79,66014,13041,49002,9527,9058,146642,158246,11604,7.33,Livrée,4
L00094,2020-01-14,E002,R010,V006,C0077,340,7.38,127.86,16.84,95,83109,7973,14930,8643,6617,121272,670722,549450,81.92,Livrée,4
L00095,2020-01-14,E006,R015,V005,C0035,45,1.21,6.13,1.23,134,3984,0,4203,1314,10769,20270,4830,-15440,-319.67,Livrée,5
L00096,2020-01-14,E002,R015,V006,C0463,45,0.46,16.36,10.11,53,10634,0,1021,1284,10640,23579,62481,38902,62.26,Livrée,4
L00097,2020-01-15,E003,R008,V008,C0045,235,4.91,53.77,4.31,109,34950,6146,11664,6198,7095,66053,137317,71264,51.9,Livrée,5
L00098,2020-01-15,E001,R006,V008,C0150,195,4.25,44.3,4.27,123,28795,4680,14471,5279,10116,63341,80838,17497,21.64,Livrée,4
L00099,2020-01-15,E004,R003,V005,C0491,165,3.34,18.88,0.94,23,12272,4822,8922,2868,8723,37607,17478,-20129,-115.17,Livrée,5
L00100,2020-01-15,E002,R006,V008,C0068,195,4.0,37.61,4.31,90,24446,3990,8754,3332,6280,46802,75889,29087,38.33,Livrée,5
L00101,2020-01-15,E006,R015,V007,C0254,45,1.45,12.93,6.16,127,8404,0,3248,948,8887,21487,29843,8356,28.0,Livrée,5
L00102,2020-01-15,E003,R002,V003,C0017,340,7.37,150.97,19.07,20,98130,8544,20595,7075,9904,144248,810582,666334,82.2,Livrée,5
L00103,2020-01-15,E002,R015,V001,C0261,45,1.56,17.49,15.69,163,11368,0,3530,1285,8086,24269,81448,57179,70.2,Livrée,4
L00104,2020-01-16,E006,R012,V006,C0213,35,0.43,12.15,11.38,173,7898,0,1093,976,11572,21539,39063,17524,44.86,Livrée,5
L00105,2020-01-16,E004,R007,V002,C0313,620,15.01,157.72,11.23,129,102518,13772,34243,16439,6559,173531,894529,720998,80.6,Livrée,4
L00106,2020-01-16,E004,R014,V002,C0256,165,3.25,51.56,10.68,118,33514,5667,7112,2714,10624,59631,186124,126493,67.96,Livrée,5
L00107,2020-01-16,E005,R011,V003,C0216,275,5.36,118.05,23.09,162,76732,6392,14609,8071,10878,116682,665661,548979,82.47,Livrée,4
L00108,2020-01-16,E001,R010,V008,C0351,340,7.72,72.81,3.54,171,47326,7878,15900,5851,11759,88714,135469,46755,34.51,Livrée,5
L00109,2020-01-16,E005,R014,V003,C0424,165,2.62,69.93,21.7,24,45455,4861,5914,4367,7551,68148,456811,388663,85.08,Livrée,4
L00110,2020-01-16,E003,R007,V008,C0286,620,15.6,132.23,3.95,62,85950,21089,31683,9403,10392,158517,280674,122157,43.52,Livrée,5
L00111,2020-01-17,E002,R004,V007,C0426,275,5.64,88.4,9.78,173,57460,7479,16241,7729,7162,96071,253305,157234,62.07,Livrée,4
L00112,2020-01-17,E003,R013,V002,C0007,420,7.97,112.4,9.34,180,73060,8819,19179,8806,8087,117951,404536,286585,70.84,Livrée,5
L00113,2020-01-17,E006,R008,V006,C0497,235,3.48,86.8,15.54,63,56420,4910,9009,6686,6690,83715,303635,219920,72.43,Livrée,4
L00114,2020-01-17,E004,R004,V002,C0380,275,5.61,81.18,8.71,150,52767,9213,17865,4925,10134,94904,274534,179630,65.43,Livrée,5
L00115,2020-01-17,E005,R007,V001,C0199,620,15.74,223.4,13.9,106,145210,20574,52607,13518,8190,240099,1262771,1022672,80.99,Livrée,5
L00116,2020-01-17,E005,R004,V005,C0091,275,5.8,34.87,0.98,88,22666,8139,16692,4858,5235,57590,22726,-34864,-153.41,Livrée,5
L00117,2020-01-17,E005,R013,V008,C0472,420,7.87,78.84,2.52,85,51246,8759,21434,7492,11562,100493,153333,52840,34.46,Livrée,5
L00118,2020-01-18,E003,R012,V001,C0147,35,0.54,12.55,16.96,14,8158,0,1230,770,10854,21012,54174,33162,61.21,Livrée,5
L00119,2020-01-18,E004,R005,V007,C0425,185,3.12,59.61,7.38,39,38746,5689,6710,4508,5791,61444,125764,64320,51.14,Livrée,5
L00120,2020-01-18,E002,R007,V007,C0418,620,15.26,206.33,11.29,116,134114,16323,32742,10421,9087,202687,1025001,822314,80.23,Livrée,5
L00121,2020-01-18,E006,R013,V008,C0150,420,7.25,90.25,3.65,123,58662,10716,23895,6484,8078,107835,152265,44430,29.18,Livrée,5
L00122,2020-01-18,E002,R014,V008,C0052,165,3.28,36.08,3.09,43,23452,5126,8241,4949,10941,52709,51995,-714,-1.37,Livrée,4
L00123,2020-01-18,E003,R014,V002,C0243,165,3.42,51.41,9.69,32,33416,3973,9884,3176,5763,56212,202636,146424,72.26,Livrée,4
L00124,2020-01-18,E006,R013,V005,C0219,420,6.71,55.23,1.03,147,35900,14695,21986,11036,9635,93252,56538,-36714,-64.94,Livrée,4
L00125,2020-01-19,E005,R010,V002,C0006,340,6.97,88.57,8.07,162,57570,9651,16711,7061,5122,96115,323743,227628,70.31,Livrée,5
L00126,2020-01-19,E001,R003,V001,C0458,165,2.69,58.87,16.78,192,38266,4302,9141,2577,9785,64071,255923,191852,74.96,Livrée,5
L00127,2020-01-19,E003,R010,V001,C0109,340,7.05,110.83,17.81,132,72040,11073,15304,7718,8648,114783,606441,491658,81.07,Livrée,5
L00128,2020-01-19,E003,R005,V008,C0351,185,3.72,39.69,4.67,119,25798,5392,7668,4892,9493,53243,87498,34255,39.15,Livrée,5
L00129,2020-01-19,E004,R011,V006,C0409,275,6.08,106.62,11.49,72,69303,6328,13605,4443,11384,105063,314823,209760,66.63,Livrée,4
L00130,2020-01-19,E002,R014,V006,C0066,165,3.56,56.17,9.56,105,36510,4999,9003,4902,7092,62506,142835,80329,56.24,Livrée,5
L00131,2020-01-19,E003,R003,V001,C0010,165,3.35,58.63,15.19,43,38110,4975,9405,4034,9177,65701,247651,181950,73.47,Livrée,5
L00132,2020-01-20,E003,R005,V005,C0202,185,3.74,22.02,1.07,143,14313,4151,8891,3371,10122,40848,21603,-19245,-89.08,Livrée,3
L00133,2020-01-20,E005,R014,V008,C0282,165,3.25,36.83,3.9,156,23940,4557,11056,4533,11942,56028,75933,19905,26.21,Livrée,5
L00134,2020-01-20,E005,R003,V007,C0389,165,3.59,43.73,10.61,121,28424,4764,9186,3432,11192,56998,173497,116499,67.15,Livrée,5
L00135,2020-01-20,E006,R011,V006,C0214,275,5.53,91.64,13.19,15,59566,7740,13564,6851,7234,94955,542193,447238,82.49,Livrée,5
L00136,2020-01-20,E001,R010,V006,C0068,340,7.11,136.79,16.05,116,88914,10740,21695,5811,9604,136764,777581,640817,82.41,Livrée,5
L00137,2020-01-20,E004,R011,V004,C0247,275,6.3,52.29,1.76,59,33988,5506,15937,7664,5191,68286,69686,1400,2.01,Livrée,5
L00138,2020-01-21,E001,R007,V004,C0354,620,15.83,109.7,2.75,25,71305,14667,51017,10289,8411,155689,198415,42726,21.53,Livrée,4
L00139,2020-01-21,E006,R013,V006,C0327,420,6.85,147.17,15.61,166,95660,11988,23802,7670,11901,151021,565635,414614,73.3,Livrée,5
L00140,2020-01-21,E005,R001,V002,C0050,420,7.06,134.69,7.06,30,87548,9063,20076,6338,9989,133014,307169,174155,56.7,Livrée,5
L00141,2020-01-21,E002,R009,V005,C0017,120,1.84,12.99,0.85,121,8444,4143,5314,3096,9560,30557,9098,-21459,-235.87,Livrée,5
L00142,2020-01-21,E005,R009,V003,C0011,120,2.34,46.86,13.93,179,30459,2462,7482,3107,5573,49083,223725,174642,78.06,Annulée,1
L00143,2020-01-21,E004,R005,V006,C0309,185,3.32,63.88,15.43,101,41522,5428,7215,3128,5503,62796,351798,289002,82.15,Livrée,4
L00144,2020-01-21,E005,R009,V004,C0306,120,2.19,24.76,2.62,65,16094,3221,4749,3587,5160,32811,36234,3423,9.45,Livrée,5
L00145,2020-01-22,E004,R010,V005,C0392,340,7.14,44.43,1.24,174,28880,8159,18386,6468,10744,72637,38747,-33890,-87.46,Livrée,5
L00146,2020-01-22,E004,R013,V005,C0476,420,6.74,52.08,1.38,40,33852,14517,17092,12339,5267,83067,83389,322,0.39,Livrée,4
L00147,2020-01-22,E004,R015,V004,C0124,45,0.55,7.9,3.29,123,5135,0,1505,932,9673,17245,19321,2076,10.74,Livrée,5
L00148,2020-01-22,E006,R006,V008,C0492,195,4.08,43.74,3.35,64,28431,5036,12318,3592,6816,56193,63869,7676,12.02,Livrée,4
L00149,2020-01-22,E004,R015,V005,C0225,45,0.35,6.06,1.09,100,3939,0,766,719,8941,14365,5897,-8468,-143.6,Livrée,5
L00150,2020-01-22,E004,R005,V008,C0244,185,3.34,36.4,4.57,109,23660,5994,10326,3867,10933,54780,80357,25577,31.83,Livrée,5
L00151,2020-01-22,E002,R013,V005,C0318,420,6.57,49.49,0.81,16,32168,12980,22239,10315,11663,89365,41604,-47761,-114.8,Livrée,5
L00152,2020-01-23,E001,R003,V004,C0473,165,2.33,28.37,2.56,135,18440,3906,5841,2583,11334,42104,35778,-6326,-17.68,Livrée,5
L00153,2020-01-23,E003,R011,V001,C0469,275,6.33,99.34,15.12,91,64571,9121,20360,4438,6414,104904,417251,312347,74.86,Livrée,5
L00154,2020-01-23,E001,R011,V006,C0332,275,6.37,91.66,17.55,160,59579,6654,17876,7005,9414,100528,574301,473773,82.5,Livrée,5
L00155,2020-01-23,E004,R008,V002,C0379,235,4.46,73.0,6.39,35,47450,8083,12970,5382,5124,79009,125888,46879,37.24,Livrée,5
L00156,2020-01-23,E002,R004,V008,C0346,275,5.96,56.87,2.69,188,36966,7958,16139,5271,11670,78004,75297,-2707,-3.6,Livrée,5
L00157,2020-01-23,E005,R010,V003,C0029,340,6.41,143.85,16.87,181,93502,10583,15410,7968,6951,134414,802489,668075,83.25,Livrée,5
L00158,2020-01-23,E002,R013,V002,C0358,420,6.79,133.89,7.99,73,87028,9677,21811,8625,11900,139041,418208,279167,66.75,Livrée,4
L00159,2020-01-24,E004,R015,V001,C0483,45,1.31,17.15,13.66,125,11147,0,3727,1185,11018,27077,72296,45219,62.55,Livrée,4
L00160,2020-01-24,E002,R013,V007,C0357,420,7.03,115.96,9.33,171,75374,11275,16254,9440,11325,123668,359075,235407,65.56,Livrée,5
L00161,2020-01-24,E002,R003,V001,C0366,165,2.3,61.12,9.58,128,39728,5655,4873,3917,11408,65581,179003,113422,63.36,Livrée,5
L00162,2020-01-24,E004,R013,V005,C0428,420,6.58,54.85,0.96,167,35652,8428,16189,9475,7639,77383,58641,-18742,-31.96,Livrée,5
L00163,2020-01-24,E006,R006,V002,C0365,195,4.73,61.71,11.11,114,40112,5097,11471,3212,8354,68246,274553,206307,75.14,Livrée,5
L00164,2020-01-24,E002,R008,V008,C0429,235,4.11,53.48,3.85,172,34762,5972,13630,3949,9319,67632,72590,4958,6.83,Livrée,5
L00165,2020-01-24,E003,R013,V008,C0285,420,7.92,78.83,4.63,110,51240,8633,22189,9630,10908,102600,282161,179561,63.64,Livrée,5
L00166,2020-01-25,E003,R015,V001,C0497,45,1.64,16.8,10.48,145,10920,0,4299,1134,7809,24162,64933,40771,62.79,Livrée,5
L00167,2020-01-25,E002,R009,V002,C0472,120,2.93,30.45,9.36,177,19792,2999,7003,1887,7840,39521,167669,128148,76.43,Livrée,5
L00168,2020-01-25,E006,R014,V001,C0059,165,3.34,64.15,14.0,136,41698,4452,10613,3670,7705,68138,302337,234199,77.46,Livrée,5
L00169,2020-01-25,E005,R006,V003,C0143,195,4.76,93.7,12.77,72,60905,4565,10897,4904,7903,89174,339836,250662,73.76,Livrée,5
L00170,2020-01-25,E004,R005,V001,C0326,185,3.29,67.66,12.37,136,43979,4309,9176,2806,8329,68599,285335,216736,75.96,Livrée,5
L00171,2020-01-25,E003,R012,V002,C0352,35,0.46,10.37,10.08,67,6740,0,970,582,9529,17821,40317,22496,55.8,Livrée,4
L00172,2020-01-25,E005,R011,V005,C0300,275,5.46,36.38,1.27,101,23647,7950,18909,6095,10423,67024,47391,-19633,-41.43,Livrée,5
L00173,2020-01-26,E002,R002,V002,C0226,340,6.94,108.14,8.11,142,70291,9354,20493,8283,5928,114349,408204,293855,71.99,Livrée,5
L00174,2020-01-26,E005,R002,V004,C0164,340,6.44,58.79,2.98,192,38214,8721,18103,6276,6593,77907,104008,26101,25.1,Livrée,5
L00175,2020-01-26,E001,R009,V002,C0084,120,2.89,35.89,7.58,56,23328,3845,5994,2877,8693,44737,109699,64962,59.22,Livrée,5
L00176,2020-01-26,E003,R002,V003,C0377,340,7.15,134.61,16.55,131,87497,7516,20983,6685,8086,130767,635335,504568,79.42,Livrée,5
L00177,2020-01-26,E002,R002,V006,C0313,340,7.41,118.03,11.89,6,76720,9395,20962,6778,8302,122157,384433,262276,68.22,Livrée,4
L00178,2020-01-26,E004,R003,V003,C0117,165,2.67,69.44,14.81,55,45136,3392,6289,4404,9242,68463,335210,266747,79.58,Livrée,5
L00179,2020-01-26,E006,R003,V003,C0320,165,3.25,72.09,14.29,125,46858,4441,10886,3019,10190,75394,332324,256930,77.31,Livrée,4
L00180,2020-01-27,E002,R004,V001,C0204,275,6.23,89.9,10.59,55,58435,8412,21056,6503,6303,100709,254082,153373,60.36,Livrée,5
